"","Finish ID","Remaining ID"
"0","103-1678421218.1085_stereo_mono","103-1677024177.43_stereo_mono"
"1","103-1678421827.1136_stereo_mono","103-1677026595.171_stereo_mono"
"2","103-1678422697.1304_stereo_mono","103-1677031590.640_stereo_mono"
"3","103-1678414827.771_stereo_mono","103-1677033146.869_stereo_mono"
"4","103-1678422817.1318_stereo_mono","103-1677034409.1007_stereo_mono"
"5","","103-1677029491.429_stereo_mono"
"6","","103-1677038875.1119_stereo_mono"
"7","","103-1677041218.1292_stereo_mono"
"8","","103-1677048872.2132_stereo_mono"
"9","","103-1677051904.2417_stereo_mono"
"10","","103-1677042320.1403_stereo_mono"
"11","","103-1677045595.1757_stereo_mono"
"12","","103-1677197200.172_stereo_mono"
"13","","103-1677198950.305_stereo_mono"
"14","","103-1677200637.425_stereo_mono"
"15","","103-1677203473.689_stereo_mono"
"16","","103-1677204402.788_stereo_mono"
"17","","103-1677205564.949_stereo_mono"
"18","","103-1677206992.1087_stereo_mono"
"19","","103-1677211464.1235_stereo_mono"
"20","","103-1677219303.1814_stereo_mono"
"21","","103-1677220451.1931_stereo_mono"
"22","","103-1677223915.2417_stereo_mono"
"23","","103-1677215496.1529_stereo_mono"
"24","","103-1677217580.1671_stereo_mono"
"25","","103-1677226559.2793_stereo_mono"
"26","","103-1677227726.2912_stereo_mono"
"27","","103-1677543028.120_stereo_mono"
"28","","103-1677544025.213_stereo_mono"
"29","","103-1677544493.239_stereo_mono"
"30","","103-1677546422.594_stereo_mono"
"31","","103-1677549058.825_stereo_mono"
"32","","103-1677549930.927_stereo_mono"
"33","","103-1677550134.987_stereo_mono"
"34","","103-1677551065.1200_stereo_mono"
"35","","103-1677550733.1133_stereo_mono"
"36","","103-1677556991.1580_stereo_mono"
"37","","103-1677558640.1725_stereo_mono"
"38","","103-1677560462.1867_stereo_mono"
"39","","103-1677560936.1900_stereo_mono"
"40","","103-1677561563.1957_stereo_mono"
"41","","103-1677566953.2519_stereo_mono"
"42","","103-1677568142.2647_stereo_mono"
"43","","103-1677569210.2772_stereo_mono"
"44","","103-1677569182.2770_stereo_mono"
"45","","103-1677573047.3301_stereo_mono"
"46","","103-1677719641.784_stereo_mono"
"47","","103-1677721222.965_stereo_mono"
"48","","103-1677719812.821_stereo_mono"
"49","","103-1677715681.87_stereo_mono"
"50","","103-1677717324.519_stereo_mono"
"51","","103-1677722851.1167_stereo_mono"
"52","","103-1677723544.1301_stereo_mono"
"53","","103-1677724692.1580_stereo_mono"
"54","","103-1677725880.1707_stereo_mono"
"55","","103-1677730532.2140_stereo_mono"
"56","","103-1677732668.2309_stereo_mono"
"57","","103-1677734482.2469_stereo_mono"
"58","","103-1677736399.2706_stereo_mono"
"59","","103-1677744704.3582_stereo_mono"
"60","","103-1677745187.3631_stereo_mono"
"61","","103-1677739688.3045_stereo_mono"
"62","","103-1677741311.3251_stereo_mono"
"63","","103-1677742968.3381_stereo_mono"
"64","","103-1677743757.3490_stereo_mono"
"65","","103-1677116764.889_stereo_mono"
"66","","103-1677111591.104_stereo_mono"
"67","","103-1677113007.294_stereo_mono"
"68","","103-1677117787.969_stereo_mono"
"69","","103-1677118769.1157_stereo_mono"
"70","","103-1677120365.1725_stereo_mono"
"71","","103-1677125010.1961_stereo_mono"
"72","","103-1677128302.2207_stereo_mono"
"73","","103-1677130287.2498_stereo_mono"
"74","","103-1677130808.2531_stereo_mono"
"75","","103-1677133616.2964_stereo_mono"
"76","","103-1677135182.3126_stereo_mono"
"77","","103-1677138614.3394_stereo_mono"
"78","","103-1677139639.3520_stereo_mono"
"79","","103-1677140751.3616_stereo_mono"
"80","","103-1677456178.66_stereo_mono"
"81","","103-1677457625.203_stereo_mono"
"82","","103-1677458708.307_stereo_mono"
"83","","103-1677460053.518_stereo_mono"
"84","","103-1677462101.765_stereo_mono"
"85","","103-1677470631.1661_stereo_mono"
"86","","103-1677471495.1761_stereo_mono"
"87","","103-1677472616.1905_stereo_mono"
"88","","103-1677473964.2056_stereo_mono"
"89","","103-1677475258.2213_stereo_mono"
"90","","103-1677476100.2358_stereo_mono"
"91","","103-1677463360.942_stereo_mono"
"92","","103-1677464379.1177_stereo_mono"
"93","","103-1677465116.1329_stereo_mono"
"94","","103-1677465901.1469_stereo_mono"
"95","","103-1677478402.2618_stereo_mono"
"96","","103-1677481036.2898_stereo_mono"
"97","","103-1677482393.3045_stereo_mono"
"98","","103-1677483955.3320_stereo_mono"
"99","","103-1677486191.3486_stereo_mono"
"100","","103-1678147474.36_stereo_mono"
"101","","103-1678148621.133_stereo_mono"
"102","","103-1678150350.256_stereo_mono"
"103","","103-1678151421.368_stereo_mono"
"104","","103-1678153547.644_stereo_mono"
"105","","103-1678155177.1019_stereo_mono"
"106","","103-1678156550.1189_stereo_mono"
"107","","103-1678162106.1423_stereo_mono"
"108","","103-1678164070.1555_stereo_mono"
"109","","103-1678165185.1693_stereo_mono"
"110","","103-1678167211.1951_stereo_mono"
"111","","103-1678168045.2083_stereo_mono"
"112","","103-1678171429.2587_stereo_mono"
"113","","103-1678174616.2831_stereo_mono"
"114","","103-1678176183.3001_stereo_mono"
"115","","103-1678178749.3247_stereo_mono"
"116","","103-1677801922.218_stereo_mono"
"117","","103-1677803174.346_stereo_mono"
"118","","103-1677804426.441_stereo_mono"
"119","","103-1677809403.994_stereo_mono"
"120","","103-1677810032.1111_stereo_mono"
"121","","103-1677811647.1308_stereo_mono"
"122","","103-1677806106.585_stereo_mono"
"123","","103-1677808559.854_stereo_mono"
"124","","103-1677826478.2344_stereo_mono"
"125","","103-1677817188.1563_stereo_mono"
"126","","103-1677823250.2143_stereo_mono"
"127","","103-1677817210.1564_stereo_mono"
"128","","103-1677833503.3016_stereo_mono"
"129","","103-1677820232.1805_stereo_mono"
"130","","103-1677829075.2595_stereo_mono"
"131","","103-1677827725.2446_stereo_mono"
"132","","103-1678062485.236_stereo_mono"
"133","","103-1678060868.53_stereo_mono"
"134","","103-1677822518.2072_stereo_mono"
"135","","103-1678063334.335_stereo_mono"
"136","","103-1678064145.433_stereo_mono"
"137","","103-1678065813.856_stereo_mono"
"138","","103-1678068912.1436_stereo_mono"
"139","","103-1678068084.1271_stereo_mono"
"140","","103-1678069283.1483_stereo_mono"
