"","Finish ID","Remaining ID"
"0","103-1680767472.2604_stereo_mono","103-1677024213.48_stereo_mono"
"1","103-1680765793.2281_stereo_mono","103-1677027085.197_stereo_mono"
"2","103-1680764561.2147_stereo_mono","103-1677031674.667_stereo_mono"
"3","103-1680769332.2830_stereo_mono","103-1677033422.913_stereo_mono"
"4","","103-1677027892.254_stereo_mono"
"5","","103-1677029475.416_stereo_mono"
"6","","103-1677039620.1162_stereo_mono"
"7","","103-1677041967.1359_stereo_mono"
"8","","103-1677049748.2201_stereo_mono"
"9","","103-1677051134.2345_stereo_mono"
"10","","103-1677043441.1543_stereo_mono"
"11","","103-1677053073.2501_stereo_mono"
"12","","103-1677055386.2666_stereo_mono"
"13","","103-1677199620.343_stereo_mono"
"14","","103-1677200942.466_stereo_mono"
"15","","103-1677202654.637_stereo_mono"
"16","","103-1677204274.740_stereo_mono"
"17","","103-1677205891.974_stereo_mono"
"18","","103-1677205334.933_stereo_mono"
"19","","103-1677213600.1354_stereo_mono"
"20","","103-1677219135.1801_stereo_mono"
"21","","103-1677221330.1981_stereo_mono"
"22","","103-1677225027.2653_stereo_mono"
"23","","103-1677216026.1571_stereo_mono"
"24","","103-1677217975.1699_stereo_mono"
"25","","103-1677227023.2837_stereo_mono"
"26","","103-1677228554.2972_stereo_mono"
"27","","103-1677543465.150_stereo_mono"
"28","","103-1677545037.285_stereo_mono"
"29","","103-1677544274.231_stereo_mono"
"30","","103-1677547411.712_stereo_mono"
"31","","103-1677548045.749_stereo_mono"
"32","","103-1677545901.508_stereo_mono"
"33","","103-1677550278.1034_stereo_mono"
"34","","103-1677551781.1311_stereo_mono"
"35","","103-1677552555.1428_stereo_mono"
"36","","103-1677552821.1437_stereo_mono"
"37","","103-1677557409.1630_stereo_mono"
"38","","103-1677558344.1693_stereo_mono"
"39","","103-1677562624.2037_stereo_mono"
"40","","103-1677559550.1776_stereo_mono"
"41","","103-1677566572.2450_stereo_mono"
"42","","103-1677566220.2396_stereo_mono"
"43","","103-1677568706.2719_stereo_mono"
"44","","103-1677571749.3161_stereo_mono"
"45","","103-1677574167.3369_stereo_mono"
"46","","103-1677719283.704_stereo_mono"
"47","","103-1677720435.915_stereo_mono"
"48","","103-1677721973.1058_stereo_mono"
"49","","103-1677716038.118_stereo_mono"
"50","","103-1677717793.562_stereo_mono"
"51","","103-1677718902.642_stereo_mono"
"52","","103-1677723952.1313_stereo_mono"
"53","","103-1677725178.1635_stereo_mono"
"54","","103-1677729713.2010_stereo_mono"
