"","Finish ID","Remaining ID"
"0","103-1680767229.2582_stereo_mono","103-1677025036.94_stereo_mono"
"1","","103-1677027158.206_stereo_mono"
"2","","103-1677032138.740_stereo_mono"
"3","","103-1677033494.914_stereo_mono"
"4","","103-1677027960.268_stereo_mono"
"5","","103-1677030436.499_stereo_mono"
"6","","103-1677039959.1179_stereo_mono"
"7","","103-1677046019.1787_stereo_mono"
"8","","103-1677049543.2188_stereo_mono"
"9","","103-1677052452.2460_stereo_mono"
"10","","103-1677043471.1557_stereo_mono"
"11","","103-1677053641.2543_stereo_mono"
"12","","103-1677197588.206_stereo_mono"
"13","","103-1677199896.356_stereo_mono"
"14","","103-1677201167.491_stereo_mono"
"15","","103-1677204255.730_stereo_mono"
"16","","103-1677204892.863_stereo_mono"
"17","","103-1677204387.776_stereo_mono"
"18","","103-1677211257.1204_stereo_mono"
"19","","103-1677212321.1290_stereo_mono"
"20","","103-1677219531.1825_stereo_mono"
"21","","103-1677222585.2242_stereo_mono"
"22","","103-1677225328.2691_stereo_mono"
"23","","103-1677215216.1496_stereo_mono"
"24","","103-1677216647.1631_stereo_mono"
"25","","103-1677226121.2755_stereo_mono"
"26","","103-1677226570.2798_stereo_mono"
"27","","103-1677542583.64_stereo_mono"
"28","","103-1677545011.283_stereo_mono"
"29","","103-1677544495.240_stereo_mono"
"30","","103-1677546899.661_stereo_mono"
"31","","103-1677547614.742_stereo_mono"
"32","","103-1677549922.926_stereo_mono"
"33","","103-1677549844.912_stereo_mono"
"34","","103-1677551943.1336_stereo_mono"
"35","","103-1677552898.1445_stereo_mono"
"36","","103-1677550756.1134_stereo_mono"
"37","","103-1677559052.1752_stereo_mono"
"38","","103-1677557478.1647_stereo_mono"
"39","","103-1677562305.2014_stereo_mono"
"40","","103-1677560178.1852_stereo_mono"
"41","","103-1677567109.2544_stereo_mono"
"42","","103-1677567127.2549_stereo_mono"
"43","","103-1677570534.2917_stereo_mono"
"44","","103-1677571774.3162_stereo_mono"
"45","","103-1677569748.2819_stereo_mono"
"46","","103-1677719742.808_stereo_mono"
"47","","103-1677721707.1028_stereo_mono"
"48","","103-1677722072.1082_stereo_mono"
"49","","103-1677716225.289_stereo_mono"
"50","","103-1677717975.574_stereo_mono"
"51","","103-1677723004.1214_stereo_mono"
"52","","103-1677723969.1321_stereo_mono"
"53","","103-1677725307.1643_stereo_mono"
"54","","103-1677729746.2017_stereo_mono"
"55","","103-1677731840.2229_stereo_mono"
"56","","103-1677732278.2269_stereo_mono"
"57","","103-1677735463.2587_stereo_mono"
"58","","103-1677736658.2755_stereo_mono"
"59","","103-1677745523.3652_stereo_mono"
"60","","103-1677746804.3751_stereo_mono"
"61","","103-1677740387.3131_stereo_mono"
"62","","103-1677741643.3273_stereo_mono"
"63","","103-1677743704.3476_stereo_mono"
"64","","103-1677737445.2846_stereo_mono"
"65","","103-1677116007.831_stereo_mono"
"66","","103-1677111789.135_stereo_mono"
"67","","103-1677113235.328_stereo_mono"
"68","","103-1677117916.1005_stereo_mono"
"69","","103-1677119399.1419_stereo_mono"
"70","","103-1677120850.1777_stereo_mono"
"71","","103-1677126197.2058_stereo_mono"
"72","","103-1677128430.2324_stereo_mono"
"73","","103-1677130226.2491_stereo_mono"
"74","","103-1677131750.2657_stereo_mono"
"75","","103-1677133167.2852_stereo_mono"
"76","","103-1677137671.3291_stereo_mono"
"77","","103-1677138994.3447_stereo_mono"
"78","","103-1677139985.3553_stereo_mono"
"79","","103-1677142003.3710_stereo_mono"
"80","","103-1677456479.95_stereo_mono"
"81","","103-1677457928.236_stereo_mono"
"82","","103-1677458795.309_stereo_mono"
"83","","103-1677461181.661_stereo_mono"
"84","","103-1677462404.791_stereo_mono"
"85","","103-1677470796.1678_stereo_mono"
"86","","103-1677471765.1804_stereo_mono"
"87","","103-1677473468.1991_stereo_mono"
"88","","103-1677474164.2074_stereo_mono"
"89","","103-1677475482.2244_stereo_mono"
"90","","103-1677476599.2461_stereo_mono"
"91","","103-1677463596.1026_stereo_mono"
"92","","103-1677464588.1224_stereo_mono"
"93","","103-1677465277.1355_stereo_mono"
"94","","103-1677466539.1548_stereo_mono"
"95","","103-1677479300.2715_stereo_mono"
"96","","103-1677481684.2965_stereo_mono"
"97","","103-1677483015.3106_stereo_mono"
"98","","103-1677484270.3344_stereo_mono"
"99","","103-1677486548.3507_stereo_mono"
"100","","103-1678147540.53_stereo_mono"
"101","","103-1678149100.166_stereo_mono"
"102","","103-1678150473.284_stereo_mono"
"103","","103-1678151721.408_stereo_mono"
"104","","103-1678153854.673_stereo_mono"
"105","","103-1678155559.1067_stereo_mono"
"106","","103-1678157236.1273_stereo_mono"
"107","","103-1678163176.1517_stereo_mono"
"108","","103-1678164308.1585_stereo_mono"
"109","","103-1678165367.1724_stereo_mono"
"110","","103-1678167249.1961_stereo_mono"
"111","","103-1678169813.2390_stereo_mono"
"112","","103-1678172071.2627_stereo_mono"
"113","","103-1678174104.2784_stereo_mono"
"114","","103-1678177390.3116_stereo_mono"
"115","","103-1678179444.3301_stereo_mono"
"116","","103-1677802142.263_stereo_mono"
"117","","103-1677803851.385_stereo_mono"
"118","","103-1677808845.894_stereo_mono"
"119","","103-1677809586.1027_stereo_mono"
"120","","103-1677810484.1177_stereo_mono"
"121","","103-1677812012.1369_stereo_mono"
"122","","103-1677807053.681_stereo_mono"
"123","","103-1677823394.2152_stereo_mono"
"124","","103-1677816058.1463_stereo_mono"
"125","","103-1677817242.1566_stereo_mono"
"126","","103-1677819086.1665_stereo_mono"
"127","","103-1677831993.2889_stereo_mono"
"128","","103-1677833623.3035_stereo_mono"
"129","","103-1677820949.1879_stereo_mono"
"130","","103-1677822572.2074_stereo_mono"
"131","","103-1677827867.2463_stereo_mono"
"132","","103-1677830089.2719_stereo_mono"
"133","","103-1678061156.91_stereo_mono"
"134","","103-1678065597.840_stereo_mono"
"135","","103-1678063666.368_stereo_mono"
"136","","103-1678065142.754_stereo_mono"
"137","","103-1678066292.938_stereo_mono"
"138","","103-1678067116.1090_stereo_mono"
"139","","103-1678068357.1344_stereo_mono"
"140","","103-1678069695.1534_stereo_mono"
"141","","103-1678070381.1633_stereo_mono"
"142","","103-1678078992.2307_stereo_mono"
"143","","103-1678080101.2455_stereo_mono"
"144","","103-1678082249.2745_stereo_mono"
"145","","103-1678081727.2658_stereo_mono"
"146","","103-1678075368.1891_stereo_mono"
"147","","103-1678076062.1982_stereo_mono"
"148","","103-1678078615.2253_stereo_mono"
"149","","103-1678087743.3331_stereo_mono"
"150","","103-1678089666.3493_stereo_mono"
"151","","103-1678091472.3663_stereo_mono"
"152","","103-1678406965.76_stereo_mono"
"153","","103-1678409671.194_stereo_mono"
"154","","103-1678412442.543_stereo_mono"
"155","","103-1678414729.758_stereo_mono"
"156","","103-1678425179.1450_stereo_mono"
"157","","103-1678421265.1087_stereo_mono"
"158","","103-1678427695.1671_stereo_mono"
"159","","103-1678431164.2078_stereo_mono"
"160","","103-1678428219.1845_stereo_mono"
"161","","103-1678434239.2426_stereo_mono"
"162","","103-1678437281.2695_stereo_mono"
"163","","103-1678241160.702_stereo_mono"
"164","","103-1678243839.1069_stereo_mono"
"165","","103-1678238756.511_stereo_mono"
"166","","103-1678240238.629_stereo_mono"
"167","","103-1678234261.92_stereo_mono"
"168","","103-1678235565.266_stereo_mono"
"169","","103-1678253562.1616_stereo_mono"
"170","","103-1678248211.1177_stereo_mono"
"171","","103-1678262577.2421_stereo_mono"
"172","","103-1678265223.2590_stereo_mono"
"173","","103-1678255355.1769_stereo_mono"
"174","","103-1678257629.1976_stereo_mono"
"175","","103-1678259992.2154_stereo_mono"
"176","","103-1678842685.307_stereo_mono"
"177","","103-1678838693.63_stereo_mono"
"178","","103-1678842034.225_stereo_mono"
"179","","103-1678844465.424_stereo_mono"
"180","","103-1678853728.1212_stereo_mono"
"181","","103-1678855882.1428_stereo_mono"
"182","","103-1678846217.655_stereo_mono"
"183","","103-1678847136.814_stereo_mono"
"184","","103-1678864658.2314_stereo_mono"
"185","","103-1678866951.2475_stereo_mono"
"186","","103-1678864997.2323_stereo_mono"
"187","","103-1678868009.2541_stereo_mono"
"188","","103-1678869792.2684_stereo_mono"
"189","","103-1678857217.1589_stereo_mono"
"190","","103-1678859569.1792_stereo_mono"
"191","","103-1678321821.168_stereo_mono"
"192","","103-1678323352.281_stereo_mono"
"193","","103-1678325469.467_stereo_mono"
"194","","103-1678327755.628_stereo_mono"
"195","","103-1678328493.735_stereo_mono"
"196","","103-1678344723.2032_stereo_mono"
"197","","103-1678334734.1096_stereo_mono"
"198","","103-1678342737.1804_stereo_mono"
"199","","103-1678334506.1063_stereo_mono"
"200","","103-1678335785.1216_stereo_mono"
"201","","103-1678337818.1339_stereo_mono"
"202","","103-1678351308.2673_stereo_mono"
"203","","103-1678336588.1255_stereo_mono"
